DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
2,4,2.83,153.0,2.8,2043
19,10,15.01,85.0,3.5,2030
16,7,20.99,14.0,3.8,2062
14,10,27.42,260.0,1.6,2046
2,9,28.94,184.0,1.2,2072
7,7,30.0,245.0,3.7,2137
7,6,17.99,76.0,4.0,2073
26,1,17.86,46.0,3.8,2063
9,4,30.39,249.0,3.6,2192
27,11,14.21,83.0,3.5,2099
8,9,20.69,250.0,2.9,2126
20,7,8.1,57.0,3.9,2061
19,7,6.75,46.0,2.0,2173
13,2,16.66,74.0,3.8,2025
25,6,30.39,225.0,3.9,2020
15,6,15.35,54.0,3.6,2068
8,5,4.2,126.0,3.3,2031
23,8,18.61,143.0,2.8,2085
15,2,0.0,-15.0,2.7,2023
12,5,16.49,99.0,2.8,2066
21,8,30.39,237.0,2.8,2198
29,7,19.42,56.0,3.7,2106
20,1,30.4,276.0,4.0,2077
25,8,24.79,146.0,1.9,2022
22,2,30.4,288.0,3.9,2076
18,9,19.73,191.0,3.9,2083
29,6,3.66,-15.0,4.0,2108
17,1,30.4,167.0,2.6,2136
21,3,3.49,-15.0,3.0,2110
4,2,25.46,197.0,3.7,2053
19,12,0.0,6.0,3.0,2143
15,9,29.83,180.0,4.0,2117
29,8,15.93,92.0,1.9,2170
13,11,28.13,221.0,1.5,2163
12,12,0.0,74.0,2.9,2043
13,3,27.05,85.0,3.9,2095
11,1,8.73,92.0,2.9,2199
5,11,0.0,124.0,3.8,2041
17,8,29.39,160.0,3.8,2198
3,3,24.72,181.0,4.0,2116
13,5,19.84,58.0,3.5,2056
18,7,29.71,228.0,4.0,2096
2,9,22.29,325.0,2.5,2049
1,9,21.73,24.0,2.8,2045
27,2,23.04,-7.0,3.9,2183
5,4,2.79,166.0,3.6,2136
7,7,25.69,182.0,2.1,2153
20,9,30.39,-15.0,3.9,2157
10,7,27.33,98.0,2.3,2101
4,3,0.0,90.0,2.0,2019
10,11,6.0,270.0,2.0,2019
4,3,0.0,-15.0,2.0,2187
15,12,10.84,77.0,1.8,2131
27,3,0.0,103.0,2.3,2034
22,10,30.39,166.0,4.0,2100
29,9,0.0,60.0,2.0,2078
10,1,0.0,-15.0,0.5,2035
19,9,29.5,120.0,3.9,2139
22,4,24.58,204.0,4.0,2196
20,12,20.71,107.0,3.6,2139
21,9,0.0,63.0,3.9,2040
3,6,27.06,-15.0,3.9,2082
12,3,16.56,126.0,1.3,2039
21,11,3.59,235.0,2.5,2085
10,8,16.96,83.0,3.3,2203
30,7,16.82,118.0,3.1,2155
24,12,24.56,-15.0,4.0,2137
8,11,30.23,39.0,3.7,2080
11,4,30.4,14.0,4.0,2022
10,1,9.79,37.0,3.8,2160
8,8,30.39,170.0,4.0,2034
3,5,30.31,63.0,3.9,2035
12,7,29.72,261.0,3.2,2065
24,5,0.0,100.0,3.9,2084
14,6,9.01,106.0,3.3,2084
31,5,30.39,229.0,1.9,2190
12,12,25.52,297.0,1.7,2122
7,12,27.45,175.0,1.7,2068
18,11,30.4,272.0,2.5,2116
12,11,6.31,-15.0,4.0,2090
19,2,19.34,92.0,3.2,2139
12,3,0.0,-15.0,2.3,2139
4,4,14.44,184.0,2.0,2081
3,6,1.9,79.0,2.9,2172
4,8,0.0,-15.0,2.2,2117
11,1,14.33,-15.0,4.0,2096
19,12,0.2,90.0,1.0,2023
9,12,3.26,96.0,3.6,2169
14,5,10.84,218.0,2.3,2121
21,5,0.0,-15.0,3.8,2044
21,9,13.0,79.0,1.7,2146
16,4,28.1,272.0,3.9,2100
30,4,20.67,96.0,2.2,2126
15,4,24.15,146.0,3.6,2133
22,4,9.08,197.0,3.5,2099
26,12,0.0,162.0,3.0,2067
13,5,12.83,-15.0,2.3,2052
27,10,21.4,66.0,3.9,2025
24,6,29.53,257.0,1.0,2124
11,1,0.0,63.0,3.2,2053
17,7,3.95,137.0,3.2,2196
28,2,3.42,-15.0,3.5,2197
19,1,0.0,61.0,3.5,2036
21,5,29.85,212.0,3.8,2158
21,12,29.82,20.0,3.9,2108
3,3,9.46,-15.0,3.7,2166
2,4,27.64,52.0,2.9,2126
30,8,0.0,58.0,2.9,2102
30,12,22.11,238.0,1.9,2162
2,10,25.92,113.0,3.3,2165
1,12,6.35,151.0,2.3,2180
23,6,15.46,57.0,3.2,2189
16,8,0.0,21.0,2.9,2146
25,9,21.49,158.0,3.5,2075
12,11,21.21,-15.0,3.9,2123
13,8,5.63,-9.0,3.7,2192
28,7,4.2,25.0,1.6,2164
27,3,25.95,89.0,3.8,2071
3,2,20.86,95.0,3.9,2161
13,3,27.35,209.0,3.2,2069
7,11,9.04,210.0,2.1,2114
27,12,1.71,39.0,2.1,2158
22,8,27.8,220.0,3.0,2022
9,10,18.25,179.0,3.6,2107
11,12,12.6,-15.0,4.0,2083
28,11,26.24,339.0,0.4,2192
15,9,20.88,60.0,3.8,2026
7,10,4.98,12.0,3.7,2065
17,6,3.38,108.0,3.5,2033
2,11,30.39,140.0,4.0,2141
11,4,27.0,193.0,3.9,2134
7,7,30.38,268.0,3.9,2127
29,5,20.41,-15.0,4.0,2203
29,12,0.0,238.0,3.4,2095
11,8,30.38,102.0,4.0,2045
30,7,9.14,195.0,3.7,2045
12,8,4.39,97.0,3.3,2196
5,6,24.31,200.0,1.6,2133
1,11,26.83,265.0,2.4,2206
10,6,26.65,152.0,4.0,2084
21,6,7.46,44.0,2.8,2114
27,6,25.54,59.0,3.9,2138
29,3,2.9,120.0,1.6,2050
7,11,5.92,205.0,3.2,2088
28,7,30.4,168.0,4.0,2172
11,2,22.56,106.0,2.4,2088
9,6,0.0,33.0,3.9,2032
15,12,5.88,92.0,1.7,2059
25,9,0.0,-15.0,4.0,2102
23,5,15.19,146.0,2.1,2136
14,1,0.91,26.0,1.5,2109
10,8,17.35,237.0,2.8,2078
19,3,3.88,14.0,1.9,2028
16,3,19.28,117.0,3.8,2118
28,7,7.17,165.0,3.0,2113
17,2,0.0,23.0,1.5,2201
16,5,30.39,231.0,3.9,2042
5,5,26.51,234.0,2.2,2079
14,6,0.0,43.0,4.0,2077
31,3,30.38,116.0,4.0,2185
13,9,23.0,53.0,2.8,2157
3,6,23.29,115.0,2.3,2127
25,3,2.07,-15.0,4.0,2081
4,2,9.55,290.0,2.4,2071
6,6,26.01,283.0,3.8,2157
28,6,28.92,191.0,2.1,2144
17,9,30.4,163.0,3.8,2112
18,10,26.27,174.0,2.3,2099
8,7,10.22,249.0,3.5,2105
16,6,9.7,186.0,4.0,2166
2,9,30.4,114.0,3.0,2147
11,10,0.0,22.0,3.0,2151
22,6,4.85,115.0,2.4,2049
13,12,30.4,307.0,2.1,2098
25,5,0.0,94.0,3.1,2092
7,9,30.39,70.0,3.9,2194
30,10,16.07,73.0,1.5,2061
20,3,30.4,274.0,3.5,2124
3,10,23.05,57.0,3.4,2108
20,6,2.06,78.0,3.9,2039
11,6,21.69,123.0,2.8,2105
6,11,16.76,219.0,3.8,2197
27,5,0.0,26.0,2.9,2192
9,2,6.38,120.0,3.6,2191
10,1,10.7,105.0,3.6,2147
6,5,10.69,-15.0,3.9,2161
28,5,0.0,80.0,3.5,2126
23,1,30.31,101.0,3.2,2023
10,7,13.24,167.0,2.9,2075
16,8,17.52,182.0,1.6,2178
16,7,0.0,66.0,2.6,2069
4,5,0.0,125.0,3.2,2151
22,6,30.4,143.0,3.3,2162
15,11,18.54,161.0,1.7,2155
7,4,30.37,164.0,3.1,2086
25,9,20.34,-15.0,2.8,2200
9,11,21.5,231.0,3.0,2200
28,4,7.6,44.0,1.2,2079
26,5,15.96,253.0,2.9,2085
20,12,12.35,149.0,2.8,2100
13,10,21.04,195.0,2.5,2028
24,3,0.2,70.0,1.0,2022
1,6,30.28,-15.0,4.0,2184
7,4,8.36,135.0,2.8,2097
26,9,13.22,181.0,2.6,2110
8,7,0.0,64.0,2.5,2133
11,2,19.08,103.0,3.6,2067
1,7,22.46,101.0,3.1,2128
20,2,0.0,118.0,1.5,2047
26,1,3.64,99.0,2.5,2138
20,4,0.0,156.0,2.2,2137
8,4,30.39,167.0,3.8,2159
27,7,4.79,89.0,3.6,2088
14,4,0.0,94.0,3.4,2120
7,5,4.42,-8.0,3.5,2020
31,5,28.62,-13.0,3.7,2099
30,4,0.0,100.0,3.0,2125
25,8,21.29,106.0,3.1,2035
20,1,21.91,117.0,2.5,2124
13,8,29.68,202.0,4.0,2089
25,4,0.0,137.0,2.1,2073
29,12,26.44,107.0,3.5,2024
6,11,22.51,265.0,1.8,2071
18,11,29.45,194.0,3.4,2072
22,7,30.4,63.0,3.6,2087
3,11,28.8,-15.0,4.0,2101
9,7,25.94,200.0,3.3,2042
17,4,26.35,261.0,2.4,2172
23,10,16.75,131.0,2.9,2090
4,2,25.88,170.0,1.5,2114
30,5,20.03,188.0,0.9,2049
16,6,30.4,137.0,2.2,2143
13,3,29.77,306.0,2.4,2176
11,1,15.97,-1.0,2.4,2116
30,6,12.13,-15.0,3.2,2040
14,12,30.16,83.0,0.5,2023
23,8,22.01,57.0,2.3,2025
29,3,22.06,179.0,3.5,2122
21,11,0.0,90.0,2.0,2018
28,9,28.09,50.0,3.7,2042
28,6,23.38,-15.0,3.2,2134
4,8,30.38,197.0,2.2,2122
14,5,22.99,-15.0,3.9,2200
18,3,30.2,5.0,3.9,2139
10,7,2.75,145.0,2.8,2174
19,6,16.25,245.0,3.1,2193
14,12,30.4,255.0,3.7,2193
2,8,0.0,-15.0,2.7,2111
14,10,0.0,56.0,2.5,2082
29,12,0.0,47.0,3.1,2049
1,3,30.4,112.0,3.9,2121
18,12,9.7,167.0,4.0,2203
29,3,3.66,-15.0,3.7,2068
6,9,25.62,352.0,1.9,2139
18,4,7.48,34.0,3.3,2173
19,10,4.51,-15.0,4.0,2077
27,9,20.21,109.0,3.4,2114
14,11,6.4,72.0,4.0,2205
9,2,18.9,-15.0,4.0,2020
10,11,9.47,134.0,3.8,2073
15,10,15.59,-15.0,3.5,2079
4,4,19.82,247.0,4.0,2053
23,5,25.41,42.0,3.0,2049
20,10,17.06,245.0,3.4,2116
20,12,0.0,22.0,3.2,2137
11,12,4.76,-15.0,4.0,2047
13,1,26.41,-15.0,3.5,2172
26,2,21.42,127.0,3.3,2135
20,8,19.29,132.0,2.4,2081
7,7,26.14,115.0,4.0,2068
2,5,8.83,183.0,4.0,2165
26,4,15.93,-15.0,4.0,2029
28,9,26.6,224.0,3.3,2185
16,7,17.24,63.0,1.8,2206
11,11,15.19,65.0,4.0,2129
24,4,0.0,47.0,1.6,2119
11,2,27.93,-15.0,3.7,2160
30,1,21.03,19.0,4.0,2172
23,6,11.61,156.0,3.3,2141
10,12,15.76,244.0,2.4,2024
2,10,28.74,-15.0,4.0,2115
11,5,30.28,-15.0,3.9,2128
22,1,0.0,-3.0,3.9,2046
21,2,29.18,38.0,1.0,2033
13,7,0.05,-15.0,3.9,2100
8,2,28.68,140.0,4.0,2085
5,10,17.55,53.0,2.9,2169
14,4,23.81,-15.0,2.5,2028
25,7,0.0,-15.0,3.9,2079
8,4,29.24,103.0,3.6,2102
4,4,3.45,45.0,3.9,2146
30,4,0.0,165.0,1.7,2068
15,8,30.27,311.0,1.7,2055
5,2,29.37,203.0,3.1,2036
25,11,29.11,314.0,1.6,2063
8,6,13.4,217.0,3.9,2069
16,4,29.1,-15.0,4.0,2122
24,1,30.39,295.0,3.7,2116
24,5,0.0,77.0,3.1,2176
20,10,30.4,300.0,3.7,2046
9,6,21.72,298.0,1.0,2157
21,1,17.26,98.0,3.9,2026
10,7,25.4,160.0,1.0,2022
9,9,30.36,154.0,4.0,2143
28,7,18.65,123.0,4.0,2063
15,5,29.38,317.0,2.8,2124
21,9,5.95,8.0,3.9,2087
14,1,18.44,139.0,3.6,2193
26,6,15.36,118.0,4.0,2133
9,12,30.39,99.0,3.9,2130
12,11,19.25,113.0,1.6,2105
26,9,16.59,6.0,1.4,2109
21,6,22.85,198.0,2.8,2056
3,1,20.8,90.0,1.0,2021
5,6,0.0,234.0,2.8,2105
27,11,21.95,119.0,3.0,2177
6,2,21.19,171.0,2.2,2164
16,1,16.78,50.0,4.0,2180
24,11,21.25,-15.0,4.0,2042
6,9,3.56,242.0,3.3,2059
20,10,27.79,82.0,3.9,2076
7,3,30.39,16.0,4.0,2149
3,3,12.16,221.0,3.6,2092
25,12,30.05,136.0,3.5,2131
9,4,25.38,253.0,4.0,2120
2,6,5.05,171.0,3.0,2104
6,5,15.13,175.0,2.9,2070
8,3,0.4,90.0,1.0,2017
12,11,0.0,91.0,3.6,2094
24,10,30.01,180.0,2.5,2150
9,5,25.31,-15.0,0.7,2150
1,10,7.67,84.0,1.3,2020
8,5,0.48,117.0,3.8,2020
11,4,5.05,15.0,1.7,2087
25,12,0.0,222.0,2.7,2119
3,5,29.32,57.0,3.3,2099
17,2,15.79,32.0,1.8,2046
25,7,0.0,38.0,3.8,2076
16,6,24.9,47.0,4.0,2136
4,5,16.39,59.0,0.5,2054
16,1,30.34,276.0,1.7,2171
14,1,30.34,317.0,3.2,2055
16,8,0.0,94.0,4.0,2120
15,11,0.42,12.0,4.0,2178
6,2,30.31,156.0,3.9,2063
15,9,7.3,3.0,3.2,2043
11,4,30.4,317.0,3.4,2125
26,6,27.16,200.0,3.8,2122
9,5,30.39,279.0,3.1,2057
9,3,14.14,158.0,3.0,2028
1,11,12.31,-15.0,2.8,2022
27,12,13.4,355.0,2.7,2140
6,11,9.94,-4.0,4.0,2181
14,6,0.0,46.0,1.9,2029
18,3,3.86,-15.0,4.0,2054
27,2,30.3,114.0,4.0,2172
9,5,10.16,70.0,4.0,2178
9,10,4.6,360.0,1.0,2017
1,11,30.26,318.0,2.3,2162
15,2,19.34,119.0,1.4,2183
4,11,18.49,176.0,3.9,2086
8,3,0.0,150.0,2.8,2101
29,3,19.19,89.0,3.9,2020
3,10,7.8,360.0,1.0,2017
24,5,14.85,233.0,2.3,2160
18,2,29.04,99.0,2.9,2043
14,1,9.26,31.0,3.4,2048
12,6,0.0,35.0,2.3,2132
6,5,30.27,-15.0,4.0,2165
11,4,18.32,150.0,2.1,2145
2,3,8.12,72.0,2.2,2180
2,7,0.0,180.0,1.0,2019
22,12,28.94,242.0,3.4,2108
1,1,0.0,-15.0,4.0,2203
16,5,0.0,35.0,4.0,2021
22,10,0.0,200.0,2.0,2020
6,12,0.0,2.0,2.3,2110
28,3,15.86,128.0,2.3,2167
11,2,4.45,-15.0,4.0,2139
21,10,30.38,274.0,4.0,2128
29,10,5.29,52.0,4.0,2153
2,3,20.09,91.0,3.7,2159
27,5,17.47,132.0,2.4,2143
21,12,13.31,62.0,3.8,2059
4,1,0.0,-15.0,4.0,2124
24,7,19.31,16.0,4.0,2042
24,4,17.93,185.0,2.4,2137
11,3,5.4,116.0,3.9,2055
17,5,30.36,304.0,2.1,2124
26,5,15.66,46.0,2.0,2191
27,1,24.22,15.0,2.1,2206
16,7,27.85,199.0,3.6,2156
16,2,30.39,275.0,4.0,2028
31,10,0.0,129.0,2.2,2083
2,3,30.3,0.0,4.0,2064
4,5,18.48,-15.0,3.7,2100
14,5,4.06,209.0,2.6,2196
11,1,23.4,218.0,3.7,2135
24,4,4.8,87.0,3.9,2120
30,3,29.59,30.0,3.3,2113
6,7,30.29,143.0,3.9,2155
29,6,9.29,13.0,3.9,2174
12,3,0.0,-15.0,3.7,2081
3,7,30.4,231.0,3.1,2098
6,10,0.0,-13.0,3.8,2066
30,4,15.85,-4.0,4.0,2121
8,9,15.14,220.0,1.5,2151
1,8,25.18,216.0,1.8,2080
6,8,30.34,325.0,3.4,2122
24,9,23.89,113.0,2.6,2092
30,12,28.09,94.0,3.9,2116
13,7,27.56,102.0,3.4,2202
5,3,3.9,-15.0,3.0,2119
28,2,18.69,114.0,2.4,2088
25,10,2.92,53.0,2.3,2147
13,1,39.2,340.0,1.0,2017
31,7,20.0,257.0,3.6,2048
14,8,11.22,139.0,3.2,2150
26,11,8.84,236.0,2.0,2038
11,7,27.54,210.0,2.1,2197
16,5,26.36,186.0,3.9,2163
3,6,0.0,110.0,1.0,2020
2,8,26.49,47.0,2.6,2148
20,12,30.39,166.0,3.7,2064
20,7,30.28,275.0,2.5,2174
14,4,30.39,124.0,4.0,2074
11,9,14.97,196.0,3.6,2128
20,10,16.67,-15.0,3.2,2096
7,5,8.09,269.0,1.9,2151
10,6,19.2,215.0,1.7,2110
29,9,30.4,224.0,3.3,2029
24,10,20.06,161.0,3.7,2133
30,8,4.39,140.0,3.7,2181
27,1,30.4,299.0,2.3,2116
25,3,30.36,-7.0,3.8,2181
14,9,18.36,214.0,3.1,2114
16,8,25.51,86.0,2.5,2070
2,5,21.75,213.0,2.3,2040
4,1,25.64,202.0,3.9,2133
4,7,17.56,32.0,3.9,2132
5,2,16.52,86.0,4.0,2027
7,8,24.99,57.0,1.5,2153
16,4,20.14,118.0,2.0,2101
25,8,17.03,53.0,1.6,2114
7,3,0.0,133.0,4.0,2132
17,12,28.03,-15.0,3.5,2121
19,10,9.23,129.0,3.8,2192
3,12,26.26,276.0,0.5,2168
3,3,28.77,284.0,2.0,2195
29,7,10.4,310.0,2.7,2060
30,3,26.55,280.0,3.2,2135
27,12,12.25,195.0,2.5,2152
19,10,0.0,170.0,3.0,2036
16,2,28.63,147.0,3.7,2100
12,12,29.09,46.0,3.8,2192
23,7,0.0,84.0,4.0,2085
14,8,30.31,322.0,2.6,2108
21,3,20.08,87.0,3.2,2155
21,4,0.0,65.0,3.9,2040
2,3,22.83,30.0,1.8,2040
8,7,0.0,234.0,1.9,2099
5,3,10.98,155.0,3.8,2061
2,8,30.27,250.0,2.6,2041
15,1,7.36,245.0,1.9,2052
11,1,0.2,360.0,3.0,2021
19,4,18.31,59.0,2.4,2184
2,3,0.0,54.0,2.8,2200
14,11,28.44,211.0,3.6,2157
1,11,23.66,95.0,3.8,2183
31,5,6.2,70.0,1.0,2022
14,6,18.78,30.0,2.4,2079
14,8,0.0,123.0,2.3,2082
20,6,26.25,243.0,4.0,2163
17,12,7.3,-15.0,3.9,2103
15,5,0.0,223.0,3.7,2046
27,6,30.4,181.0,3.6,2106
26,1,25.19,215.0,3.2,2057
17,7,30.4,266.0,3.8,2161
19,1,0.0,34.0,2.6,2063
31,3,0.0,181.0,1.8,2198
16,5,25.1,264.0,1.8,2193
3,1,25.92,122.0,2.8,2075
3,8,17.05,47.0,3.4,2030
12,9,24.58,22.0,3.9,2128
21,11,9.76,39.0,2.6,2035
16,11,25.12,133.0,3.7,2174
14,9,0.0,42.0,1.4,2127
27,2,28.26,211.0,3.9,2174
17,8,18.12,101.0,2.9,2173
9,6,4.7,191.0,3.8,2160
12,3,30.32,308.0,3.2,2103
23,1,4.14,4.0,3.3,2111
19,10,29.27,67.0,4.0,2037
16,1,5.43,-15.0,4.0,2042
3,3,0.0,117.0,1.3,2180
13,4,0.0,-15.0,2.6,2172
20,12,2.88,-15.0,1.2,2156
7,10,28.15,26.0,3.5,2052
16,5,0.0,-15.0,3.5,2172
11,12,27.51,186.0,1.0,2186
20,7,4.26,62.0,3.8,2089
20,9,19.38,197.0,3.8,2144
27,8,22.87,220.0,2.6,2090
14,4,29.5,328.0,2.6,2124
7,7,15.28,276.0,3.7,2192
16,3,21.05,122.0,2.2,2185
16,4,24.61,135.0,2.4,2040
16,9,19.72,121.0,2.6,2079
27,5,27.0,112.0,1.3,2147
8,4,8.66,106.0,4.0,2205
9,2,14.22,152.0,3.9,2165
19,4,8.22,31.0,3.8,2032
11,6,12.6,212.0,2.5,2061
28,9,0.0,76.0,3.8,2140
7,2,8.47,-6.0,3.9,2083
11,7,8.8,180.0,1.0,2022
25,6,30.36,157.0,4.0,2115
8,8,24.78,277.0,3.6,2095
2,12,25.35,311.0,2.7,2171
27,3,27.55,-15.0,2.9,2031
2,1,12.96,102.0,2.7,2138
29,7,14.77,6.0,3.1,2115
9,4,4.74,261.0,3.9,2113
13,11,29.61,96.0,3.5,2113
14,4,0.0,268.0,3.1,2149
17,12,13.0,-15.0,3.7,2172
10,2,1.46,127.0,2.8,2110
2,1,3.3,4.0,2.8,2037
17,6,30.4,114.0,3.9,2142
17,3,14.16,135.0,3.8,2063
8,2,0.0,17.0,4.0,2130
12,12,0.0,-15.0,2.9,2086
2,11,20.76,47.0,2.1,2181
17,4,13.94,293.0,3.2,2192
4,1,0.0,-15.0,3.9,2135
16,5,0.0,-15.0,2.8,2161
11,5,19.76,144.0,3.1,2037
24,12,29.12,243.0,3.3,2055
7,8,9.84,-15.0,3.8,2132
3,12,30.39,134.0,2.5,2165
27,5,30.4,246.0,3.5,2030
30,12,30.4,288.0,1.9,2185
9,8,30.4,82.0,3.9,2044
30,9,17.2,100.0,4.0,2068
5,12,12.86,176.0,3.6,2098
2,3,0.0,253.0,4.0,2204
24,12,8.03,132.0,3.8,2045
16,1,3.08,177.0,3.4,2036
26,8,17.77,174.0,3.8,2060
25,10,0.0,40.0,1.0,2019
4,8,0.65,43.0,3.4,2120
24,6,24.85,200.0,2.1,2027
15,2,2.12,-15.0,3.9,2168
13,1,5.44,53.0,3.7,2139
3,3,24.18,194.0,3.5,2041
1,1,30.4,192.0,3.8,2105
1,9,0.0,-15.0,3.9,2071
5,4,12.14,272.0,3.6,2026
26,2,30.39,71.0,4.0,2132
12,4,29.88,-4.0,4.0,2151
11,2,2.63,110.0,3.3,2073
18,5,4.47,122.0,1.5,2036
3,2,22.15,239.0,4.0,2101
12,1,3.87,-15.0,4.0,2142
28,2,27.53,177.0,3.1,2146
11,6,10.4,110.0,1.0,2021
7,8,2.76,-15.0,3.3,2175
15,11,1.0,-15.0,4.0,2047
11,8,28.27,194.0,4.0,2084
4,3,0.0,187.0,2.3,2066
8,7,3.73,145.0,3.4,2151
26,3,0.0,141.0,3.5,2023
17,3,0.0,-15.0,4.0,2059
11,8,0.0,-15.0,4.0,2129
8,10,16.31,233.0,3.5,2177
18,4,29.0,87.0,3.9,2122
24,3,8.42,224.0,3.5,2157
9,7,28.31,285.0,1.6,2051
27,8,25.32,153.0,3.1,2085
8,1,26.92,52.0,3.9,2021
13,3,14.99,90.0,3.5,2202
2,8,26.94,211.0,3.5,2198
8,8,25.69,75.0,3.9,2094
22,12,28.55,-15.0,4.0,2118
21,11,18.19,24.0,3.1,2165
2,5,13.1,167.0,3.4,2126
16,9,23.54,254.0,3.4,2138
8,7,16.7,200.0,1.0,2018
5,9,30.4,200.0,2.9,2154
29,4,8.86,170.0,2.1,2181
31,10,25.96,102.0,3.1,2167
24,11,4.76,178.0,3.6,2181
12,5,3.32,22.0,3.9,2100
24,1,0.0,117.0,3.3,2165
23,11,30.4,257.0,1.4,2075
21,6,28.7,240.0,1.0,2017
31,5,28.88,257.0,2.5,2023
11,12,24.15,137.0,2.6,2190
